firm_id,ticker,fiscal_year,managerial_inside_own,state_own,institutional_own,foreign_own,shares_outstanding,net_sales,total_assets,selling_expenses,general_admin_expenses,intangible_assets_net,manufacturing_overhead,net_operating_income,raw_material_consumption,merchandise_purchase_year,wip_goods_purchase,outside_manufacturing_expenses,production_cost,rnd_expenses,product_innovation,process_innovation,net_income,total_equity,market_value_equity,total_liabilities,net_cfo,capex,net_cfi,cash_and_equivalents,long_term_debt,current_assets,current_liabilities,growth_ratio,inventory,dividend_cash_paid,eps_basic,employees_count,net_ppe,firm_age
6,DPM,2022,0.0,0.59,0.1,0.19,391334260.0,18627179544265.0,17698795735776.0,-977707327576.0,-556278720793.0,820511715068.0,-2826291911281.0,6586702178458.0,-7309033678171.0,11884879278917.0,273274432238.0,-993520499116.0,-10788959662813.0,,1,1,5584891286243.0,14017438764568.0,7401000000000.0,3681356971208.0,4961263601087.0,-77483959653.0,-3226554038599.0,2083841053069.0,505108697415.0,13578923480222.0,2995517551891.0,0.46,3871453604350.0,-1977035742700.0,13897.0,1499.0,2434307412659.0,19
6,DPM,2023,0.0,0.59,0.08,0.09,391334260.0,13569185518411.0,13309260029583.0,-348444338144.0,-502354622004.0,834247135764.0,-2029469542776.0,690031170207.0,-6871144247415.0,3871453604350.0,75591581221.0,-972240458737.0,-11917438631877.0,,1,1,529816920522.0,11545199773844.0,6838000000000.0,1764060255739.0,944846622234.0,-240758232062.0,1676077836133.0,1241561362115.0,,9565106752268.0,1484492945240.0,-0.27,1910840607214.0,-2755413813475.0,1030.0,1545.0,2154198652529.0,20
6,DPM,2024,0.0,0.59,0.07,0.09,391334260.0,13496142223703.0,16552286447507.0,-837208423254.0,-702811258885.0,859108852567.0,-2046395051569.0,664875997801.0,-7858251120893.0,11417854898112.0,19264251889.0,-976120439252.0,-11598010673565.0,,1,1,554266541498.0,11179836420269.0,7584000000000.0,5372450027238.0,947829530921.0,-85463362684.0,-3808210515663.0,1004912303570.0,0.0,13219573591341.0,5198718914842.0,-0.54,1730684831761.0,-801478274775.0,1078.0,1550.0,1852113498553.0,21
7,GEE,2020,0.07,0.0,,,,16072701797984.0,14398381888846.0,-412643508213.0,-355683140846.0,112116757191.0,-987105981277.0,811359884294.0,-11841263915039.0,1793849395804.0,427256606776.0,-382807998088.0,-14117731801309.0,,1,0,655630516906.0,3634110530182.0,0.0,10759535200290.0,1347528255068.0,-288733866322.0,-560733835458.0,802754993832.0,1702201501316.0,9394621303718.0,8897625979741.0,0.27,3039350381102.0,-468976884866.0,2436.0,10.0,1432367080263.0,4
7,GEE,2021,0.07,0.0,0.91,0.0,,18714205861145.0,23123789280402.0,-360858347287.0,-387450215643.0,129123656811.0,-1173532140203.0,760768346345.0,-12885854880478.0,817398386068.0,879205718772.0,-506649599984.0,-16884083731929.0,,1,0,654788979016.0,5983526045666.0,0.0,17136396187466.0,-1186225233634.0,-474801298384.0,-1818198865040.0,1409760105856.0,6113922911348.0,12445884407985.0,10923217163650.0,0.16,6780379220031.0,-164964641815.0,2280.0,2717.0,6656073821302.0,5
7,GEE,2022,0.07,0.0,0.95,0.0,300000000.0,16664672537614.0,17419623160026.0,-348744839303.0,-408238567370.0,93686472940.0,-1479617874410.0,1088663542925.0,-12193812801031.0,1951235295428.0,327081289040.0,-498788361808.0,-14550681716128.0,,0,1,971604931564.0,6000424392006.0,6431000000000.0,11416179720742.0,1647998680796.0,-303912410315.0,1261111148357.0,709642327664.0,5159829973072.0,7767527023963.0,6165114622354.0,-0.1,4360430182967.0,-887041637725.0,2935.0,2161.0,6588973490925.0,6
7,GEE,2023,0.07,0.0,0.86,,300000000.0,16607268526513.0,13722932430964.0,-327729790359.0,-420242788855.0,80453016619.0,-1375383319370.0,949715700837.0,-12169625149118.0,645844171825.0,247842878975.0,-453772655530.0,-14581337221301.0,,0,1,792669867091.0,5949513329338.0,6952000000000.0,7771052596049.0,2317711017394.0,-239806739152.0,4300556419.0,1125181472381.0,1235643872006.0,6563191996211.0,6458680884042.0,0.0,3074354439211.0,-747998954700.0,2485.0,2116.0,3380042566756.0,7
7,GEE,2024,0.07,0.0,0.96,0.0,300000000.0,21129621819327.0,12903267306413.0,-410091473654.0,-457243436130.0,76313879098.0,-1230069310007.0,2156570638630.0,-17108974052415.0,291149933364.0,213129983418.0,-410171066279.0,-18065660920766.0,,0,1,1714575846387.0,6953437285925.0,8179000000000.0,5949830020488.0,534580544612.0,-148961739964.0,1011751107458.0,691648524113.0,453424828476.0,6860778186670.0,5380609149671.0,0.27,3680150401796.0,-374789078725.0,5294.0,1994.0,2376558404175.0,8
8,GMD,2020,0.02,0.0,,0.49,301377957.0,2605666369829.0,9834544207268.0,-137355616968.0,-341473916467.0,265286822517.0,-1522372334031.0,496177747322.0,-236268080390.0,1651749379359.0,17252105257.0,-955801543470.0,-3098591441655.0,,0,0,440475754374.0,6594929258004.0,7272000000000.0,3239614949264.0,655364412679.0,-215700797051.0,73081956314.0,427676366191.0,1137739109239.0,1356400253202.0,1745211780685.0,-0.01,72966607779.0,-353473087928.0,1149.0,1501.0,2760856086787.0,30
8,GMD,2021,0.02,0.0,0.15,0.42,301377957.0,3206290165333.0,10731211063284.0,-154146091638.0,-294784653891.0,261732779144.0,-1846696940610.0,861467218736.0,-224311420703.0,2079739289133.0,9338495055.0,-1263850451575.0,-2513419976168.0,,1,1,720561816175.0,7044618371909.0,10820000000000.0,3686592691375.0,964817116119.0,-586166126553.0,-356308892910.0,637348731809.0,1061243655583.0,1689479334239.0,2262720710817.0,0.23,68712818949.0,-426189423017.0,1869.0,1535.0,2805698233139.0,31
